sentence,label
지금은 어렵고 짐을 싸서 오늘 밤에는 출발이 가능합니다,0
그렇다면 내일 바로 업무를 할 수 있도록 오늘 출발해주세요,0
이번 주 목요일에 입사 지원자를 면접을 진행하는 게 어떨까요,0
아래층의 빈 사무실을 어떻게 활용하는 것이 좋을까요,0
당장 바꾸기보다는 일단 그대로 두는 게 좋겠어요,0
인턴 명을 포함해서 많은 직원을 뽑았다고 들었어요,0
복사기가 또 고장 나서 시설 관리팀에 연락했어요,0
이렇게 자꾸 고장 난다면 새로 사는것이 낫겠어요,0
새로운 복사기가 생길 때까지는 어떻게 해야 할 지 모르겠네요,0
새로 출시되는 장난감에 대한 프로젝트는 어디까지 진행됐나요,0
지난달에 인터넷 광고를 위한 디자인까지 마쳤습니다,0
그럼 광고 외에 출시까지 남은 과정은 무엇이 있나요,0
인터넷 외 다른 광고매체 영상 마무리 등이 남아있습니다,0
오늘 세미나에 참석한 사람의 수가 매우 적던데요,0
아마 세미나 시간이 시여서 그런 것 같아요,0
한 시간 정도 늦추면 많은 사람이 참석할 수 있을까요,0
지난주에 요청한 직원용 설문지는 다 제출했나요,0
아직 제출하지 않은 사람이 있으면 어떻게 해야 하나요,0
지난주 금요일에 열린 자선행사의 반응은 어땠나요,0
아주 좋았어요 직원들과 직원의 가족들이 매우 기뻐했어요,0
그렇군요 그럼 모금액은 목표한 만큼 모였나요,0
그보다 훨씬 더 많이 모여서 모두 뿌듯해했어요,0
일반적인 홍보 수단 외에 다른 방법이 없을까요,0
우리 회사 공장을 방문할 수 있는 프로그램은 어떨까요,0
그럼 바로 주변 학교에 연락을 넣어보도록 할게요,0
오전 회의에 제공하는 커피에 불만이 있다는 말이 무슨 뜻인가요,0
그럼 그 직원들을 위해 차도 몇 종류 구비해야겠네요,0
우리 제품을 주문하는 분들께 설문지를 같이 보낼까 하는데요,0
설문지만 보낸다면 답신율이 매우 낮을 것 같은데요,0
그럼 답신을 보낸 분 중 추첨하여 경품을 주는건 어떨까요,0
좋은 아이디어네요 먼저 전체 회의 때 통과된다면요,0
지역 주민을 대상으로 하는 행사를 기획하면 어떨까요,0
구체적으로 생각해 놓은 행사의 방향이 있나요,0
일단 지역 주민의 참석이 필수인 행사가 좋겠어요,0
하반기에는 전체 회의 없이 진행하는 게 어떨까요,0
저는 팀 회의는 유지하고 전체가 모이는 회의만 없애자는 건데요,0
그래도 내용공유 차원에서 전체회의는 필요하다고 생각해요,0
사무실 내 공간이 부족하여 사무실 이전을 추진하려고 합니다,0
동의해요 사실 사람에 비해 공간이 너무 부족해요,0
그럼 전체의 의견으로 사장님께 건의해도 될까요,0
새로운 직원을 뽑는 시기를 당기는 게 어떨까요,0
그럼 너무 급하게는 말고 한 주 정도만 당기는 건요,0
그 정도면 굳이 당기지 않아도 될 일정이라고 생각해요,0
작년 대비 올해 매출이 배 올랐다고 보고해도 될까요,0
왜죠 보고서상에는 배가 오른 것처럼 보이는데요,0
새로운 매출의 반 정도는 기존 매출과 겹치는 부분이 있어요,0
정해진 근무시간 이후에 자동으로 컴퓨터를 끄는 건 어때요,0
그건 기술 담당자와 상의해 봐야 할 것 같아요,0
새로운 직원은 주 뒤부터 근무하게 될 겁니다,0
아직은 사용할만한 빈자리가 없어서 그건 좀 곤란하네요,0
그럼 자리나 업무 등으로 볼 때 적당한 근무 시작 시점은 언제인가요,0
제 생각엔 주 뒤부터 출근 하는 게 좋겠어요,0
월 일에는 전 직원에게 유급휴가를 주려고 합니다,0
그럼 월 일부터 일까지 연달아 쉬는 거네요,0
올해 들은 소식 중에 가장 기쁜 소식이 되겠네요,0
고객이 원하는 대로 디자인을 수정하고자 합니다,0
저는 반대에요 제품의 디자인에는 우리만의 느낌이 필요해요,0
하지만 최근 많은 고객이 늘 같은 디자인을 지적하고 있어요,0
반대로 말하자면 오랫동안 지적하지 않았던 고객들도 있다는 거네요,0
단기 아르바이트 채용이 이번 행사에 도움이 될까요,0
그럼 당장 구인광고를 내고 행사에 필요한 인원만큼 채용하세요,0
다음 회의 때까지 이 안건에 대한 전 직원의 의견을 알고 싶은데요,0
전 직원의 의견이 모이면 더 확실한 결과가 나오겠네요,0
일 정도면 메일 회신이 너무 급한 건 아니겠죠,0
대량 주문이 들어와 기한을 맞추려면 전 직원의 야근이 필요합니다,0
저는 반대합니다 갑자기 야근이 늘면 직원들이 힘들 거에요,0
그럼 야근 외에 대량 주문을 소화할 다른 방법이 있나요,0
원하는 직원만 추가수당을 받으며 근무하도록 하죠,0
우리 제품의 무상 수리 기간이 개월인 것은 너무 짧다고 생각해요,0
그럼 지금보다 얼마나 더 무상 수리 기간을 늘려야 할까요,0
직원들의 컴퓨터에 업무용 메신저를 설치하라고 하는 것은 어떨까요,0
지금 이메일로도 업무를 위한 대화가 가능하다고 생각하는데요,0
하지만 메신저가 있으면 더욱더 빠르게 대화할 수 있지 않을까요,0
저는 전화와 이메일만으로도 충분하다고 생각해요,0
회사 건물 외벽 전체에 페인트칠을 하자는 의견이 있어요,0
전 비용 대비 비효율적일 거라고 생각하는데요,0
지금처럼 낙서가 된 상태보다는 낫지 않을까요,0
그럼 낙서가 된 쪽의 벽에만 하는 게 좋겠어요,0
전 직원의 세미나 참여를 위해 버스를 빌릴까요,0
버스는 너무 불편하고 시간이 오래 걸릴 것 같다고 다들 반대하네요,0
그럼 직원들은 버스 외에 어떤 수단을 원할까요,0
거리와 비용까지 고려했을 때 기차가 좋을 것 같아요,0
다음 제품의 주문 개수를 천개로 하려고 합니다,0
당장의 매출로 천개를 주문하는 건 너무 위험하지 않을까요,0
꾸준히 매출이 증가하고 있는데 한 번에 주문하는 게 낫죠,0
주문은 언제든지 할 수 있으니까 나눠서 하는 게 좋을 것 같아요,0
직원들과 가족들을 함께 초대해서 진행하는 행사는 어떨까요,0
가족들과 함께할 시간이 적으니까 좋은 생각이네요,0
행사 내용을 몇 가지 준비해서 직원들에게 선택하라고 할게요,0
우리 회사 공장을 방문해보고 싶다는 연락이 왔는데요,0
이번 기회에 우리 회사를 알릴 수 있다고 생각해서 저는 찬성입니다,0
그렇다면 공장 견학 시 안내자를 따로 정해야겠네요,0
새로운 사무실에 에어컨부터 설치해야 할 것 같아요,0
가장 빨리 설치할 수 있는 업체를 찾아서 연락해야겠어요,0
제품의 가격을 낮춰서 매출을 높이는 건 어떨까요,0
그럼 제품 가격을 낮추는 것 외에 다른 방법이 있나요,0
꼭 필요하다면 단기적인 행사를 열어 가격을 낮추는 건 어떨까요,0
구내식당의 메뉴를 개선하기 위해 업체를 변경하죠,0
메뉴 변경을 위해 업체를 바꾸는 건 너무 극단적인데요,0
벌써 주째 직원들이 메뉴에 대한 불만을 얘기하고 있어요,0
하지만 구내식당을 이용하는 직원이 줄어든 건 아니에요,0
출근 복장을 자유화하는 안건에 관해 얘기해보죠,0
그럼 단계적으로 시행할 필요 없이 바로 진행할까요,0
매주 월요일 오전 시로 주간 회의 일정을 고정하는 건 어떨까요,0
출장을 가거나 자리를 비우는 직원이 있을 거예요,0
그럼 요일만 월요일로 고정하고 시간은 오후로 정하면요,0
꼭 월요일이어야 하는 이유가 없다면 저는 별로 찬성하지 않아요,0
작년과 올해의 매출액은 막대그래프로 표시하는 게 좋겠어요,0
색깔만 다르게 해서 최대한 비슷하게 만들어주세요,0
우리 회사의 로고를 바꾸자는 의견은 어떻게 생각하시나요,0
소비자들에게 익숙한 로고를 굳이 바꿔야 하는지 모르겠네요,0
그럼 새로운 이미지를 위해서 무엇을 해야 할까요,0
차라리 새로운 캐릭터를 만들어서 추가하는 건 어떨까요,0
이번 신제품은 차로 천개를 주문하기로 했습니다,0
달 뒤 차로 동일한 양을 주문할 예정입니다,0
굳이 나눠서 주문하는 것보다는 한꺼번에 하는 게 좋을 것 같아요,0
고객이 자주 요구하는 사항을 모아서 보고하려고 합니다,0
저도 그런 과정이 필요하다고 계속 생각해왔어요,0
그럼 먼저 요구사항을 종류별로 정리해야겠군요,0
업무에 필요한 문서작성능력을 무료로 가르쳐주면 어떨까요,0
그럼 시간은 참가 신청을 받을 때 함께 조사할까요,0
보고서 작성에 필요한 자료는 이 정도면 될까요,0
지금 드린 자료를 참고하시면 알 수 있을 것 같은데요,0
작년 보고서를 직접 보면 더 빨리 끝낼수있겠죠,0
새로운 제품 홍보를 위해 직원들이 직접 매장에 갔으면 하는데요,0
홍보는 제품에 대해 가장 잘 아는 사람이 해아하지 않나요,0
홍보담당자가 제품을 잘 설명할 수 있게 정보를 더 보낼게요,0
현재 작성 중입니다 훅시 무슨 일 때문에 그러시죠,0
팀장님께서 추가하실 것이 있으셔서 제출일을 변경하신다고 하세요,0
김대리님 안녕하세요 중국 출장 관련 전체 예산안이 바뀌어서 기안서 변경이 필요할 듯 싶네요,0
제가 김대리님 이메일로 변경 사항 안내 드리도록 하겠습니다,0
안녕하세요 제가 이번 출장에 중국어 통역을 맡게 된 해외 사업팀 김소미 대리입니다,0
저도 잘 부탁 드리고 미흡하지만 최선을 다해서 통역해드리도록 하겠습니다,0
이번 발표 관련 사항들 이메일로 안내 드리겠습니다,0
지난 주에 말씀 드렸던 중국 출장 비자 발급 건에 대해 여쭤봅니다 발급 완료 되었나요,0
저희가 언론사라서 그런지 특별 비자 발급 신청을 해야할 것 같습니다,0
부산 출장이 주후로 다가왔습니다 다들 준비는 착오없이 진행되고 있나요,0
제가 변경 페널티가 없는지 확인해보고 다시 보고 드리겠습니다,0
그렇군요 저희가 섭외되는 대로 빨리 연락을 취해야 하는 상황이라서요,0
네 제가 최대한 빨리 섭외해서 안내 드리도록 하겠습니다,0
회사에서 지원해주는 해외 출장 일일 경비가 어떻게 책정 되어있는지 혹시 아시나요,0
감사합니다 제가 관련팀에 연락 취해서 기안서 작성 마무리 하도록 하겠습니다,0
네 아마 출장 가는 국가 마다 책정 금액이 다를테니 잘 알아보도록 하세요,0
감사합니다 이번이 제 첫 해외 출장이라 이것 저것 여쭤볼게 많습니다,0
대부분 미팅 스케줄은 다 잡혔고 지금 곳에서 답변 기다리고 있습니다,0
네 알겠습니다 미팅 스케줄 다 컨펌 되는 데로 공유 부탁드립니다,0
네 알겠습니다 제가 컨펌 되는 데로 이메일 송부 드리겠습니다,0
이제 내일 드디어 출장을 가게 되었네요 내일 모두 오전 시에 공항에서 뵙는 걸로 하죠,0
그렇군요 그럼 혹시 몇일날 출발하시나요,0
저는 하루 늦게 출발을 할 예정입니다 당일 비행기표가 모두 다 매진 되었더라구요,0
한 달 뒤에 있을 이탈리아 출장에 대해서 간략한 브리핑을 할 예정입니다 모두 회의실로 모여주시길 부탁드립니다,0
작년에 참가했던 업체들이 대부분 참가를 한다고 사무국측에서 알려주셨습니다,0
다음 주 출장 관련해서 주로 이야기 할 예정인거죠,0
그렇군요 저는 준비가 다 되었으니 진행 부탁드립니다,0
안녕하세요 이번에 사장님 해외 출장 동행을 맡게된 해외 사업팀 김소미 대리입니다,0
안녕하세요 김대리님 사장님께서 선호하시는 호텔 리스트 뽑아서 이메일로 보내드렸습니다,0
혹시 현지에서 컨펌 된 미팅 리스트 업데이트 된 버전 추가하셨나요,0
업데이트 된 버전은 아직 받지를 못해서 추가전입니다,0
지금 다시 공유 드리도록 하겠습니다 추가 부탁드려요,0
이번 캄보디아 출장건 관련 보고 드릴 부분 있습니다,0
문제는 아니고 이번에 캄보디아가 년만에 폭염이 온 상황이라 클라이언트 측에서 드레스 코드 변경 요청을 해왔습니다,0
그렇군요 그러면 관련 사항 이메일로 송부 부탁드립니다 제가 부장님게 보고 드리겠습니다,0
안녕하세요 저 이번에 독일 출장 함께 하게된 제작팀 윤정주입니다,0
그렇군요 그럼 할수 없죠 제가 다른팀에 차출 가능한 인원이 있는지 알아볼게요,0
죄송합니다 미리 체크를 했었어야 했는데 이렇게 늦어질지 몰랐습니다,0
괜찮습니다 그냥 다음부터 주의 부탁드립니다,0
현지에서 계약을 하기로 한 업체 측에 갑자기 계약을 철회한다는 이메일을 보냈습니다,0
왜 갑자기 그런 결정을 내리게 된건가요 우리측에 무슨 실수라고 한 건가요,0
그건 아니고 현지 거래처에서 자금 유통관련해서 문제가 생긴것같습니다,0
혹시 다음 주 해외 출장 갔을때 현지 바이어에게 드릴 선물 구매 하셨나요,0
아직 못했습니다 새로운 바이어 분이라 취향도 모르고 해서 아직 고민중입니다,0
제가 전 회사에 있을때 알고 지내던 바이어분이셔서 취향을 잘 알고 있습니다,0
그 부분은 걱정하지 마세요 독일어와 한국어가 가능한 현지 코디네이터가 함께 동행할 예정입니다,0
그렇군요 정말 다행입니다 속성으로 독일어 과외를 받아야하나 고민중이었거든요,0
네 박부장님께서 이번 해외 거래처 담당자랑 아주 막역한 사이신가봐요,0
그렇군요 그럼 이번 계약은 별 차질없이 진행 될 수 있겠네요,0
네 알겠습니다 명심하겠습니다 다음부턴 착오없이 제출하도록 하겠습니다,0
이번 유럽 출장에서 명심해야 할 부분은 새로운 거래처 모색입니다,0
네 알겠습니다 이미 현지 업체들 몇 곳과 미팅을 잡아놓은 상태입니다,0
다행입니다 작년에 계약을 했던 거래처들이 아직 연장을 하지 않은 상황이라 많이 불안합니다,0
네 저도 담당자로써 불안하긴 한데 연장이 가능하도록 노력 해보도록 하겠습니다,0
이번 달에는 출장이 개나 잡혔이네요 왜 이렇게 이번달에 다 몰린건가요,0
그렇군요 그래서 다들 휴가 전에 모든 계약을 끝내려고 이렇게 이번달에 미팅을 몰았군요,0
그런것같아요 현지 담당자가 양해를 구하는 이메일도 함께 보내왔어요 이런게 진정한 문화차이 같아요,0
네 이번 계약건이 올해 매출을 책임 질 만큼의 큰 계약 건이라 다들 엄청 기대하고 있는 것같아요,0
저도 제가 이렇게 큰 계약을 이렇게 빨리 진행하게 될지 몰랐습니다 열심히 하겠습니다,0
그렇군요 혹시 뭐가 변경 되었는지 여쭤봐도 될까요 지금 부장님께서 여쭤보셔서요,0
안녕하세요 한지민팀장님 해외사업팀 김소미대리입니다 저희 팀에서 급하게 이번 출장건 관련으로 인원 보충 요청을 드리려고 합니다,0
네 안그래도 오늘 오전 팀장회의에서 공유 받았습니다 러시아어가 가능한 분을 찾고 계시다고 들었습니다,0
네 저희팀에서 러시아어 담당이신 최대리님께서 급하게 장염때문에 입원하신 상황이라서요,0
네 알겠습니다 인원 파악 후 바로 연락드리도록 하겠습니다,0
아니요 제가 몇개는 실수 분실 한것같습니다 어떻하죠,0
괜찮습니다 신용카드 회사에 전화해서 영수증 보내달라고 하시면 됩니다,0
재무팀 장동원매니저님이시죠 저 다름이 아니라 출장경비 관련해서 여쭤볼게 있어서요,0
네 재무팀 장동원매니저입니다 무슨일이시죠,0
안녕하세요 장동원매니저님 해외사업팀 김소미매니저입니다,0
네 안녕하세요 무슨일이실까요 이번 출장 경비 건 관련해서 문의주셨나요,0
죄송합니다 아직 이메일을 못 받으셨나봐요 저희가 이번에 시스템 오류로 인해 처리가 늦어졌습니다,0
안녕하세요 재무팀에서 연락드립니다,0
이번에 보내주신 영수증들중에 누락 된 것이 몇개 있어서 연락드립니다,0
죄송합니다 제가 확인하고 다시 보내드리도록 하겠습니다,0
저는 개인적으로 지출한 부분에 대해서 제출하지 않았습니다,0
그럼 월 일에 사용하신 부분은 개인적인 지출이 아니신가요,0
제가 출장 경비 처리를 처음 해봐서 그런데 혹시 어떻게 해야하는지 아세요,0
그동안 지출 내용을 엑셀에 따로 정리하셔야 합니다,0
네 그건 이미 완료했습니다 그 다음에는 어떻게 해야하나요,0
그 다음에는 인트라넷에 접속해서 정리한 엑셀 파일을 업로드 하셔야 합니다,0
뭐 진짜 종이 영수증을 말하는 건 아니겠지 요즘 누가 종이 영수증을 다 챙겨가지고 다녀,0
종이 영수증 맞아 우리 회사는 아직도 옛날 방식을 고수하고 있어서 영수증을 다 챙겨와야해,0
와 그건 진짜 불편하겠다 요즘은 종이 영수증 안주는 곳도 꽤 되던데,0
질문이 있습니다 출장 경비는 출장을 다녀온 후 몇일 안에 올려야 하나요,0
사내 규칙 상 일주일 안에 올려하는 게 원칙이지만 부득이한 사정이 있다면 마감 연장 가능합니다,0
출장 다녀온 이후에 휴가를 쓸 예정이라서 아마 일주일 안에 올리기는 힘들 것 같습니다,0
그러면 제게 이메일로 상황을 다시 한번 보내주시겠어요,0
요즘은 예전이랑 다르게 회사에서 경비처리를 아주 손쉽게 할수가 있어,0
어떻게 예전에 회사를 안다녀봐서 잘 모르긴 하는데,0
예전에는 일일히 영수증을 풀로 종이에 부쳐서 제출을 했다면 요즘은 그냥 엑셀에 정리해서 한번에 업로드 하는 시스템이야,0
아 그래 굉장히 편리해졌네 어떻게 일일히 풀로 다 부쳐,0
이번에는 좀 장기적으로 출장을 다녀와서 그런걸꺼에요 거의 마무리했어요,0
네 오늘 제출해야해서 어제 늦게까지 야근했습니다,0
수고했습니다 오늘 제출하고 좀 일찍 퇴근하세요,0
출장 경비 처리에 대한 메뉴얼은 회사 인트라넷에 잘 정리되어 있으니 참고 부탁드립니다,0
네 알려주셔서 감사합니다 제가 이번에 처음해보는거라 조금 미숙하네요,0
처음엔 다 그래요 그래도 메뉴얼에 잘 설명 되어있으니까 잘 하실수 있을거에요,0
안그래도 되게 상세하게 설명 잘 되어있다고 생각했어요,0
출장 경비를 좀 더 손쉽게 처리를 하려면 현금 보다는 법인카드를 쓰는 게 더 좋습니다,0
아직 제가 법인카드가 발급이 안된 상황인데 어떻하죠,0
그러면 각 팀에 배정된 팀 법인카드를 승인 받아서 쓰시면 됩니다,0
아무리 회사 일 때문에 쓴거라도 애초 제출하신 출장경비 예산보다 초과했을 때에는 개인적으로 부담을 하셔야 합니다,0
죄송합니다 제 착오이긴 하지만 초과 금액이 좀 커서요 어떻게 다른 방법이 없을까요,0
그럼 관련 보고서를 해서 작성 팀장 결제를 받아오시면 됩니다,0
아 진짜요 다행이다 팀장님도 함께 계셨던 미팅이라 그건 문제될 것 같지 않아요,0
이번에 미팅한 회사가 새로운 경비 처리 프로그램을 개발했다고 하더라고,0
응 출장 경비와 같은 경우는 저절로 외화 환산이 되는 기능이 있다고 하니 되게 편할것같아,0
아 진짜요 그럼 완전 편하죠 일일히 환율 검색해 보지 않아도 되고,0
이번에 출장 예산 얼마정도로 잡았어요,0
그렇군요 지난번에 출장 경비 처리할때 실수가 있었으니까 이번에는 좀 조심해주시고요,0
네 알겠습니다 이번에는 꼼꼼하게 처리해서 제출할 수 있도록 하겠습니다,0
재무팀에서 총 경비를 관리하는데 오늘 재무팀장님께서 연락이 오셨어요,0
어떤일로 연락이 오신건가요 무슨 문제라도 생겼나요,0
아니요 우리 팀이 그래도 제일 처음으로 그것도 가장 꼼꼼하게 잘 제출했다고 한 턱 쏘신다고 하시네요,0
네 제 이메일로 보내주시면 제출 해놓고 연락드릴께요,0
혹시 미진매니저님 어디 가신지 아세요 제가 출장 경비 처리 관련해서 뭐 좀 여쭤볼게 있어서,0
그렇군요 저 다름이 아니라 이번 경비는 몇일까지 제출하면 되나요,0
월 일까지 제출하시면 됩니다,0
그러면 팀장님 경비랑 합산한 부분도 제출 부탁드립니다,0
네 알겠습니다 오늘 제출은 조금 힘들 것같고 내일까지 해서 제출하겠습니다,0
그래요 저는 입사 이후에 다른 회사를 다녀 본 적이 없어서 잘 모르겠어요,0
보통 중소기업 여비규정에 따르는 곳들이 많은데 여기는 그렇지는 않나보네요,0
글쎄요 저도 제 전문 분야가 아니라 잘 모르겠네요,0
이번 출장 경비에는 숙박비가 따로 책정이 되어 있지 않습니다,0
그럼 그 부분에 대한 기안서를 작성하셔서 팀장님 결제만 받아오시면 됩니다,0
네 알겠습니다 오늘 안으로 처리해서 보내드리도록 하겠습니다,0
맞아요 저 이번에 출장 경비 처리도 어찌나 수월하게 척척 해주시던지,0
와 진짜요 저 다음달에 출장 가는데 벌써부터 든든하네요,0
네 원래 계셨던 대리님이랑 다르게 짜증도 한번 안내시고 참 좋으세요,0
요즘 각종 컴퓨터 문서 프로그램에는 출장 경비 기록을 할 수 있는 기능이 있어요,0
저도 이번에 발견하고 깜짝 놀랐어요 회계팀 김대리님이 알려주셨어요,0
역시 저도 가끔씩 김대리님이랑 점심 먹으면서 경비 처리 팁이나 좀 들어야겠어요,0
마감일에 맞게 경비 내역 올려주셔서 감사드립니다,0
아니에요 당연히 해야 할 일인 데요 도와주셔서 감사드립니다,0
네 아마 내일쯤 처리가 완료 될거 같아요,0
네 알겠습니다 기다리고 있겠습니다,0
하필이면 마지막날 모든 영수증들을 다 잃어버렸습니다,0
괜찮아요 저한테 그동안 사진이나 스캔을 해서 보내주신 영수증들이 있어서 나머지는 그냥 카드사에 요청하시면 될것같습니다,0
아니에요 신경써주셔서 감사합니다,0
출장 경비 처리에 관한 건 여기 김미진대리님께 여쭤보시면 됩니다,0
마지막 날에 출장경비 내역 작성하느라 애먹지 않으려면요,0
네 저 이번에 진짜 고생 많이 했어요 뭐를 어떻게 썼는지 일일이 기억해내기가 쉽지 않더라고요,0
그래서 그렇게 안되려면 바쁘더라도 매일 매일 조금씩 기록해두는게 좀 더 수월하긴 해요,0
네 명심하겠습니다 앞으로는 조금씩이라도 써놔야겠어요,0
네 저 어떤일을 말씀하시는 지 잘 모르겠습니다,0
이번에 출장비 원래 예정보다 좀 많이 적게 쓰고 왔다고 되게 싱글벙글하시던데,0
이번에 우리 팀 경리 사원분 새로 오신다고 하더라고,0
아 진짜 전에 분은 일 잘 하셨는데 왜 갑자기 그만 두신데,0
몰랐어 이번에 밝혀졌는데 그 분 회사 출장 경비 횡령해가지고 지금 구속되셨을껄,0
이런식으로 해서 주면 출장 경비 제대로 처리 안되요,0
아 그럼 어떻게 해서 드리면 될까요 제가 좀 헷갈렸나봐요,0
일단 모든 항목을 같은 것으로 분류해서 놓으셔야 하고요,0
이번 시험 혹시 범위가 어떻게 되는지 아세요 제가 지난주 수업을 못가서요,0
네 이번 시험은 페이지부터 페이지까지입니다,0
그렇군요 감사합니다 추가로 안내 받으신 사항 있으실까요,0
네 시험 범위 외에 교수님께서 지난번에 주신 발표자료도 참고하라고 하셨습니다,0
이번 시험은 작년 시험에 비해서 난이도가 하향 조정될 가능성이 높습니다,0
작년 시험 난이도가 좀 높은 편이었어서 이번에는 하향 조정될 예정입니다,0
어제 교수님께서 이메일을 보내셨는데 시험 날짜가 연기 될 거라고 하셨습니다,0
아마 지난 수업에서 저희 시험범위를 다 못 커버해서 그런것같아요,0
아 시험이 주만 더 연기가 되었으면 소원이 없겠습니다,0
이번 시험에는 구술시험도 추가가 될 예정입니다 이 점 참고 부탁드립니다,0
안그래도 참고 자료들 오늘 오전에 모두에게 이메일로 보내드렸습니다,0
이번 시험 출제자가 해외에서 유학한 유학파라는 이야기를 들었습니다,0
그러면 시험 유형이 많이 바뀌었겠네요 전 지난번 시험 유형만 공부를 했는데,0
그래도 예전 유형에서 그렇게 많이 벗어나진 않을거라고 했어요,0
천만 다행이네요 다른 시험도 준비를 해야해서 새로운 유형을 공부할 시간이 없거든요,0
드디어 시험이 끝났네요 지난 주동안 너무 고생 많으셨습니다,0
감사합니다 시험 결과는 언제쯤 알수 있을까요,0
시험 채점 기간이 앞으로 주정도 소요될 예정입니다 주후에 게시판을 통해 결과가 전달될 예정입니다,0
그렇군요 안내해주셔서 감사합니다 좋은 결과가 있었으면 좋겠네요,0
이번 시험은 듣기 파트가 있어서 각자 개개인의 이어폰을 준비하셔야 합니다,0
아무 종류의 이어폰이면 되나요 아니면 특정한 종류가 있어야 하나요,0
시중에서 구매가능한 모든 종류의 이어폰이면 됩니다,0
감사합니다 준비해서 가져가도록 하겠습니다,0
이번 시험에서는 컨닝을 굉장히 엄격하게 단속 할 예정이니 모든 수험생들은 참고 부탁드립니다,0
들어보니까 작년에 거의 반 이상이 컨닝을 했다고 하네요 그런데 따로 제재가 없어서 논란이 되었습니다,0
